V number,R core,R cladding,n core,n cladding,NA,LP02effb,LP02effa,LP21effd,LP21effc,LP21effb,LP21effa,LP11effd,LP11effc,LP11effb,LP11effa,LP01effb,LP01effa,Eff area02b,Eff area02a,Eff area21d,Eff area21c,Eff area21b,Eff area21a,Eff area11d,Eff area11c,Eff area11b,Eff area11a,Eff area01b,Eff area01a,dneffaa1,dneffab1,dneffac1,dneffad1,dneffba1,dneffbb1,dneffbc1,dneffbd1,dneffaa2,dneffbb2,dneffcc2,dneffdd2,dneffaa3,dneffba3,dneffca3,dneffda3,dneffab3,dneffbb3,dneffcb3,dneffdb3
4.1,7.10E-06,6.25E-05,1.451,1.444,0.142355,1.4441,1.4441,1.4445,1.4445,1.4445,1.4445,1.4472,1.4472,1.4472,1.4472,1.4495,1.4495,6.31E-11,6.00E-11,8.65E-11,6.62E-11,6.43E-11,6.12E-11,9.76E-11,8.63E-11,6.10E-11,8.02E-11,9.11E-11,9.13E-11,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0027,0.0027,0.0027,0.0027,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
4.1,7.05E-06,6.25E-05,1.4511,1.444,0.143371,1.4441,1.4441,1.4445,1.4445,1.4445,1.4445,1.4473,1.4473,1.4473,1.4473,1.4495,1.4495,6.05E-11,5.95E-11,7.19E-11,6.81E-11,6.15E-11,6.17E-11,8.21E-11,9.58E-11,6.01E-11,9.42E-11,8.99E-11,9.00E-11,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0028,0.0028,0.0028,0.0028,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
4.1,7.01E-06,6.25E-05,1.4512,1.444,0.144379,1.4441,1.4441,1.4445,1.4445,1.4445,1.4445,1.4473,1.4473,1.4473,1.4473,1.4496,1.4496,6.14E-11,5.84E-11,8.15E-11,6.60E-11,5.99E-11,6.24E-11,9.54E-11,8.71E-11,5.75E-11,8.06E-11,8.88E-11,8.90E-11,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0028,0.0028,0.0028,0.0028,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
4.1,6.96E-06,6.25E-05,1.4513,1.444,0.145381,1.4441,1.4441,1.4445,1.4445,1.4445,1.4445,1.4473,1.4473,1.4474,1.4474,1.4497,1.4497,6.06E-11,5.76E-11,7.45E-11,6.54E-11,6.85E-11,7.22E-11,9.42E-11,9.41E-11,6.27E-11,9.30E-11,8.76E-11,8.76E-11,0.0023,0.0023,0.0024,0.0024,0.0023,0.0023,0.0024,0.0024,0.0029,0.0029,0.0028,0.0028,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
4.1,6.91E-06,6.25E-05,1.4514,1.444,0.146376,1.4441,1.4441,1.4445,1.4445,1.4445,1.4445,1.4474,1.4474,1.4474,1.4474,1.4498,1.4498,5.97E-11,5.68E-11,7.55E-11,6.34E-11,5.90E-11,5.79E-11,9.33E-11,9.04E-11,5.92E-11,7.65E-11,8.63E-11,8.64E-11,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0029,0.0029,0.0029,0.0029,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
4.1,6.86E-06,6.25E-05,1.4515,1.444,0.147364,1.4441,1.4441,1.4445,1.4445,1.4446,1.4446,1.4474,1.4474,1.4474,1.4474,1.4499,1.4499,5.73E-11,5.63E-11,7.01E-11,6.29E-11,5.78E-11,5.64E-11,8.36E-11,8.67E-11,5.29E-11,9.12E-11,8.50E-11,8.52E-11,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0028,0.0028,0.0029,0.0029,0.0005,0.0005,0.0004,0.0004,0.0005,0.0005,0.0004,0.0004
4.1,6.82E-06,6.25E-05,1.4516,1.444,0.148346,1.4441,1.4441,1.4445,1.4445,1.4446,1.4446,1.4475,1.4475,1.4475,1.4475,1.4499,1.4499,5.82E-11,5.53E-11,7.13E-11,6.31E-11,6.48E-11,6.57E-11,9.02E-11,9.04E-11,5.90E-11,8.83E-11,8.41E-11,8.41E-11,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0029,0.0029,0.003,0.003,0.0005,0.0005,0.0004,0.0004,0.0005,0.0005,0.0004,0.0004
4.1,6.77E-06,6.25E-05,1.4517,1.444,0.149321,1.4441,1.4441,1.4445,1.4446,1.4446,1.4446,1.4475,1.4475,1.4475,1.4475,1.45,1.45,5.62E-11,5.53E-11,6.58E-11,6.24E-11,5.58E-11,5.55E-11,7.31E-11,8.26E-11,5.88E-11,8.89E-11,8.29E-11,8.29E-11,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0029,0.0029,0.0029,0.003,0.0005,0.0005,0.0005,0.0004,0.0005,0.0005,0.0005,0.0004
4.1,6.73E-06,6.25E-05,1.4518,1.444,0.150291,1.4441,1.4441,1.4446,1.4446,1.4446,1.4446,1.4476,1.4476,1.4476,1.4476,1.4501,1.4501,5.55E-11,5.46E-11,6.80E-11,5.97E-11,5.63E-11,5.45E-11,8.15E-11,8.83E-11,5.32E-11,8.79E-11,8.18E-11,8.20E-11,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.003,0.003,0.003,0.003,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
4.1,6.69E-06,6.25E-05,1.4519,1.444,0.151253,1.4441,1.4441,1.4446,1.4446,1.4446,1.4446,1.4476,1.4476,1.4476,1.4476,1.4502,1.4502,5.44E-11,5.35E-11,5.99E-11,6.22E-11,5.54E-11,5.43E-11,8.47E-11,8.23E-11,5.25E-11,8.47E-11,8.09E-11,8.10E-11,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.003,0.003,0.003,0.003,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
