V number,R core,R cladding, n core,n cladding,NA,LP01 eff,LP11 eff,LP21 eff,LP02 eff,dneff1,dneff2,dneff3,,,,,,,,,,,,,
4.11,6.31E-06,6.25E-05,1.4529,1.444,0.160569,1.451,1.4481,1.4447,1.4442,0.0029,0.0034,0.0005,,,,,,,,,,,,,
4.11,6.28E-06,6.25E-05,1.453,1.444,0.161471,1.4511,1.4482,1.4447,1.4442,0.0029,0.0035,0.0005,,,,,,,,,,,,,
4.11,6.24E-06,6.25E-05,1.4531,1.444,0.162369,1.4511,1.4482,1.4447,1.4442,0.0029,0.0035,0.0005,,,,,,,,,,,,,
4.11,6.21E-06,6.25E-05,1.4532,1.444,0.163261,1.4512,1.4483,1.4447,1.4442,0.0029,0.0036,0.0005,,,,,,,,,,,,,
4.11,6.18E-06,6.25E-05,1.4533,1.444,0.164149,1.4513,1.4483,1.4447,1.4442,0.003,0.0036,0.0005,,,,,,,,,,,,,
4.11,6.14E-06,6.25E-05,1.4534,1.444,0.165032,1.4514,1.4484,1.44475,1.4442,0.003,0.00365,0.00055,,,,,,,,,,,,,
4.11,6.11E-06,6.25E-05,1.4535,1.444,0.16591,1.4514,1.4484,1.4448,1.4442,0.003,0.0036,0.0006,,,,,,,,,,,,,
4.11,6.08E-06,6.25E-05,1.4536,1.444,0.166784,1.4515,1.4485,1.4448,1.4442,0.003,0.0037,0.0006,,,,,,,,,,,,,
4.11,6.05E-06,6.25E-05,1.4537,1.444,0.167653,1.4516,1.4485,1.4448,1.4442,0.0031,0.0037,0.0006,,,,,,,,,,,,,
4.11,6.02E-06,6.25E-05,1.4538,1.444,0.168518,1.4517,1.4486,1.4448,1.4442,0.0031,0.0038,0.0006,,,,,,,,,,,,,
4.11,5.99E-06,6.25E-05,1.4539,1.444,0.169379,1.4518,1.4486,1.4448,1.4442,0.0032,0.0038,0.0006,,,,,,,,,,,,,
4.11,5.96E-06,6.25E-05,1.454,1.444,0.170235,1.4518,1.4486,1.4448,1.4442,0.0032,0.0038,0.0006,,,,,,,,,,,,,
4.11,5.93E-06,6.25E-05,1.4541,1.444,0.171087,1.4519,1.4487,1.4448,1.4442,0.0032,0.0039,0.0006,,,,,,,,,,,,,
4.11,5.90E-06,6.25E-05,1.4542,1.444,0.171935,1.452,1.44875,1.4448,1.4442,0.00325,0.00395,0.0006,,,,,,,,,,,,,
4.11,5.87E-06,6.25E-05,1.4543,1.444,0.172779,1.4521,1.4488,1.4448,1.4442,0.0033,0.004,0.0006,,,,,,,,,,,,,
4.11,5.84E-06,6.25E-05,1.4544,1.444,0.173618,1.4522,1.4488,1.44485,1.4442,0.0034,0.00395,0.00065,,,,,,,,,,,,,
4.11,5.81E-06,6.25E-05,1.4545,1.444,0.174454,1.4522,1.4489,1.44485,1.4442,0.0033,0.00405,0.00065,,,,,,,,,,,,,
4.11,5.78E-06,6.25E-05,1.4546,1.444,0.175286,1.4523,1.4489,1.44485,1.4442,0.0034,0.00405,0.00065,,,,,,,,,,,,,
4.11,5.76E-06,6.25E-05,1.4547,1.444,0.176114,1.4524,1.449,1.4449,1.4442,0.0034,0.0041,0.0007,,,,,,,,,,,,,
4.11,5.73E-06,6.25E-05,1.4548,1.444,0.176938,1.4525,1.449,1.4449,1.4442,0.0035,0.0041,0.0007,,,,,,,,,,,,,
4.11,5.70E-06,6.25E-05,1.4549,1.444,0.177758,1.4525,1.4491,1.4449,1.4442,0.0034,0.0042,0.0007,,,,,,,,,,,,,
4.11,5.68E-06,6.25E-05,1.455,1.444,0.178575,1.4526,1.4491,1.4449,1.4442,0.0035,0.0042,0.0007,,,,,,,,,,,,,
4.11,5.65E-06,6.25E-05,1.4551,1.444,0.179388,1.4527,1.4492,1.4449,1.4442,0.0035,0.0043,0.0007,,,,,,,,,,,,,
4.11,5.63E-06,6.25E-05,1.4552,1.444,0.180197,1.4528,1.4492,1.4449,1.4442,0.0036,0.0043,0.0007,,,,,,,,,,,,,
4.11,5.60E-06,6.25E-05,1.4553,1.444,0.181003,1.4529,1.449275,1.4449,1.4442,0.003625,0.004375,0.0007,,,,,,,,,,,,,
4.11,5.58E-06,6.25E-05,1.4554,1.444,0.181805,1.4529,1.4493,1.4449,1.4442,0.0036,0.0044,0.0007,,,,,,,,,,,,,
4.11,5.55E-06,6.25E-05,1.4555,1.444,0.182604,1.453,1.44935,1.4449,1.4442,0.00365,0.00445,0.0007,,,,,,,,,,,,,
4.11,5.53E-06,6.25E-05,1.4556,1.444,0.183399,1.4531,1.4494,1.44495,1.4442,0.0037,0.00445,0.00075,,,,,,,,,,,,,
4.11,5.50E-06,6.25E-05,1.4557,1.444,0.184191,1.4532,1.4494,1.44495,1.4442,0.0038,0.00445,0.00075,,,,,,,,,,,,,
4.11,5.48E-06,6.25E-05,1.4558,1.444,0.18498,1.45325,1.4495,1.44495,1.4442,0.00375,0.00455,0.00075,,,,,,,,,,,,,
4.11,5.46E-06,6.25E-05,1.4559,1.444,0.185765,1.4533,1.4495,1.44495,1.4442,0.0038,0.00455,0.00075,,,,,,,,,,,,,
4.11,5.44E-06,6.25E-05,1.456,1.444,0.186548,1.4534,1.4496,1.444975,1.4442,0.0038,0.004625,0.000775,,,,,,,,,,,,,
4.11,5.41E-06,6.25E-05,1.4561,1.444,0.187326,1.4535,1.4496,1.445,1.4442,0.0039,0.0046,0.0008,,,,,,,,,,,,,
4.11,5.39E-06,6.25E-05,1.4562,1.444,0.188102,1.4536,1.4497,1.445,1.4443,0.0039,0.0047,0.0007,,,,,,,,,,,,,
4.11,5.37E-06,6.25E-05,1.4563,1.444,0.188875,1.4536,1.4497,1.445,1.4442,0.0039,0.0047,0.0008,,,,,,,,,,,,,
